2020/3/16 4:40 UPDATE

DATE,TIME,曜日,実績(万kW),ピーク時供給力,使用率,使用率ピーク時時間帯,使用率ピーク時需要電力,使用率ピーク時供給力,使用率ピーク時使用率
2019/9/29,18:00,0,3451,4121,83,18:00,3451,4121,83
2019/9/30,13:00,1,4089,5201,78,17:00,3851,4454,86
2019/10/1,14:00,2,4198,4973,84,16:00,4061,4414,92
2019/10/2,14:00,3,4197,4962,84,17:00,3932,4367,90
2019/10/3,14:00,4,4029,4537,88,17:00,3891,4222,92
2019/10/4,13:00,5,4219,4954,85,17:00,3949,4464,88
2019/10/5,14:00,6,3651,4624,78,17:00,3521,4101,85
2019/10/6,18:00,0,3064,3752,81,18:00,3064,3752,81
2019/10/7,17:00,1,3601,4268,84,16:00,3570,4221,84
2019/10/8,13:00,2,3732,4391,84,17:00,3720,4251,87
2019/10/9,14:00,3,3526,4596,76,17:00,3506,4160,84
2019/10/10,17:00,4,3565,4155,85,17:00,3565,4155,85
2019/10/11,11:00,5,3578,4412,81,16:00,3554,4103,86
2019/10/12,11:00,6,2867,3863,74,17:00,2781,3080,90
2019/10/13,18:00,0,3033,3536,85,18:00,3033,3536,85
2019/10/14,17:00,1,3173,3636,87,17:00,3173,3636,87
2019/10/15,17:00,2,3451,3962,87,17:00,3451,3962,87
2019/10/16,17:00,3,3408,3974,85,17:00,3408,3974,85
2019/10/17,17:00,4,3483,3987,87,17:00,3483,3987,87
2019/10/18,16:00,5,3461,3980,86,17:00,3458,3972,87
2019/10/19,17:00,6,3160,3716,85,17:00,3160,3716,85
2019/10/20,18:00,0,3013,3626,83,17:00,2996,3573,83
2019/10/21,17:00,1,3301,3992,82,17:00,3301,3992,82
2019/10/22,17:00,2,3258,3829,85,17:00,3258,3829,85
2019/10/23,17:00,3,3461,4012,86,17:00,3461,4012,86
2019/10/24,17:00,4,3493,3928,88,16:00,3437,3799,90
2019/10/25,11:00,5,3650,4122,88,16:00,3580,4026,88
2019/10/26,17:00,6,3133,3634,86,17:00,3133,3634,86
2019/10/27,18:00,0,2993,3532,84,18:00,2993,3532,84
2019/10/28,17:00,1,3407,3917,86,17:00,3407,3917,86
2019/10/29,17:00,2,3560,4138,86,11:00,3504,4056,86
2019/10/30,17:00,3,3442,4071,84,17:00,3442,4071,84
2019/10/31,17:00,4,3450,4021,85,17:00,3450,4021,85
2019/11/1,17:00,5,3393,4030,84,17:00,3393,4030,84
2019/11/2,18:00,6,3051,3717,82,17:00,3046,3691,82
2019/11/3,18:00,0,2988,3673,81,18:00,2988,3673,81
2019/11/4,18:00,1,3160,3775,83,18:00,3160,3775,83
2019/11/5,17:00,2,3453,4135,83,17:00,3453,4135,83
2019/11/6,17:00,3,3458,4088,84,17:00,3458,4088,84
2019/11/7,17:00,4,3504,4108,85,17:00,3504,4108,85
2019/11/8,17:00,5,3447,4061,84,17:00,3447,4061,84
2019/11/9,18:00,6,3142,3744,83,17:00,3132,3723,84
2019/11/10,18:00,0,3070,3670,83,18:00,3070,3670,83
2019/11/11,17:00,1,3573,4198,85,17:00,3573,4198,85
2019/11/12,17:00,2,3498,4043,86,17:00,3498,4043,86
2019/11/13,17:00,3,3614,4071,88,17:00,3614,4071,88
2019/11/14,17:00,4,3514,4068,86,17:00,3514,4068,86
2019/11/15,17:00,5,3513,4136,84,17:00,3513,4136,84
2019/11/16,18:00,6,3185,3734,85,18:00,3185,3734,85
2019/11/17,18:00,0,3156,3788,83,18:00,3156,3788,83
2019/11/18,17:00,1,3537,4040,87,17:00,3537,4040,87
2019/11/19,17:00,2,3508,4112,85,17:00,3508,4112,85
2019/11/20,17:00,3,3714,4175,88,17:00,3714,4175,88
2019/11/21,17:00,4,3732,4378,85,17:00,3732,4378,85
2019/11/22,16:00,5,4181,4425,94,16:00,4181,4425,94
2019/11/23,17:00,6,3511,4012,87,16:00,3435,3833,89
2019/11/24,18:00,0,3171,4060,78,18:00,3171,4060,78
2019/11/25,9:00,1,3564,4666,76,17:00,3546,4325,81
2019/11/26,17:00,2,4086,4471,91,17:00,4086,4471,91
2019/11/27,9:00,3,4067,4696,86,17:00,4031,4556,88
2019/11/28,17:00,4,4291,4699,91,17:00,4291,4699,91
2019/11/29,17:00,5,4179,4656,89,17:00,4179,4656,89
2019/11/30,18:00,6,3800,4367,87,19:00,3776,4318,87
2019/12/1,18:00,0,3663,4294,85,18:00,3663,4294,85
2019/12/2,9:00,1,4182,4849,86,17:00,4120,4730,87
2019/12/3,17:00,2,3860,4808,80,17:00,3860,4808,80
2019/12/4,17:00,3,3917,4719,83,17:00,3917,4719,83
2019/12/5,17:00,4,4033,4761,84,17:00,4033,4761,84
2019/12/6,17:00,5,4257,4872,87,17:00,4257,4872,87
2019/12/7,17:00,6,4115,4975,82,17:00,4115,4975,82
2019/12/8,18:00,0,3742,4620,80,18:00,3742,4620,80
2019/12/9,17:00,1,4482,4896,91,16:00,4447,4831,92
2019/12/10,9:00,2,4188,5072,82,16:00,4011,4689,85
2019/12/11,9:00,3,3936,5040,78,17:00,3910,4654,84
2019/12/12,17:00,4,3905,4556,85,17:00,3905,4556,85
2019/12/13,9:00,5,4297,5030,85,17:00,4276,4812,88
2019/12/14,8:00,6,3635,4525,80,18:00,3618,4308,83
2019/12/15,19:00,0,3710,4525,81,18:00,3700,4512,82
2019/12/16,9:00,1,4197,5505,76,17:00,4163,4967,83
2019/12/17,9:00,2,4378,5164,84,17:00,4245,4993,85
2019/12/18,9:00,3,3991,5050,79,17:00,3914,4695,83
2019/12/19,16:00,4,4285,4921,87,16:00,4285,4921,87
2019/12/20,9:00,5,3894,5310,73,17:00,3875,4871,79
2019/12/21,17:00,6,3843,4431,86,17:00,3843,4431,86
2019/12/22,18:00,0,3874,4601,84,18:00,3874,4601,84
2019/12/23,9:00,1,4360,5364,81,17:00,4178,4928,84
2019/12/24,17:00,2,4237,4996,84,17:00,4237,4996,84
2019/12/25,9:00,3,4437,5243,84,17:00,4283,4914,87
2019/12/26,9:00,4,4392,5272,83,9:00,4392,5272,83
2019/12/27,18:00,5,3802,5067,75,8:00,3685,4840,76
2019/12/28,18:00,6,3664,4445,82,17:00,3621,4320,83
2019/12/29,18:00,0,3466,4197,82,18:00,3466,4197,82
2019/12/30,18:00,1,3518,4169,84,17:00,3516,4162,84
2019/12/31,18:00,2,3311,3872,85,18:00,3311,3872,85

