2020/3/16 4:40 UPDATE

DATE,TIME,曜日,実績(万kW),ピーク時供給力,使用率,使用率ピーク時時間帯,使用率ピーク時需要電力,使用率ピーク時供給力,使用率ピーク時使用率
2019/1/1,20:00,2,3166,3842,82,20:00,3166,3842,82
2019/1/2,19:00,3,3300,3964,83,19:00,3300,3964,83
2019/1/3,19:00,4,3553,4117,86,19:00,3553,4117,86
2019/1/4,18:00,5,3793,4373,86,18:00,3793,4373,86
2019/1/5,18:00,6,3614,4354,83,18:00,3614,4354,83
2019/1/6,18:00,0,4013,4727,84,18:00,4013,4727,84
2019/1/7,18:00,1,4422,5246,84,18:00,4422,5246,84
2019/1/8,9:00,2,4542,5470,83,9:00,4542,5470,83
2019/1/9,18:00,3,4701,5272,89,18:00,4701,5272,89
2019/1/10,18:00,4,4918,5212,94,18:00,4918,5212,94
2019/1/11,8:00,5,4471,5216,85,8:00,4471,5216,85
2019/1/12,10:00,6,4371,5027,86,10:00,4371,5027,86
2019/1/13,18:00,0,3875,4693,82,18:00,3875,4693,82
2019/1/14,18:00,1,4197,4955,84,18:00,4197,4955,84
2019/1/15,9:00,2,4777,5325,89,9:00,4777,5325,89
2019/1/16,17:00,3,4501,5186,86,17:00,4501,5186,86
2019/1/17,18:00,4,4364,4937,88,18:00,4364,4937,88
2019/1/18,18:00,5,4479,5052,88,18:00,4479,5052,88
2019/1/19,18:00,6,3985,4495,88,18:00,3985,4495,88
2019/1/20,18:00,0,3810,4556,83,18:00,3810,4556,83
2019/1/21,18:00,1,4456,5245,84,18:00,4456,5245,84
2019/1/22,18:00,2,4511,5040,89,18:00,4511,5040,89
2019/1/23,8:00,3,4426,5166,85,8:00,4426,5166,85
2019/1/24,18:00,4,4573,5297,86,18:00,4573,5297,86
2019/1/25,17:00,5,4472,5055,88,17:00,4472,5055,88
2019/1/26,18:00,6,4333,4843,89,18:00,4333,4843,89
2019/1/27,19:00,0,4122,4868,84,19:00,4122,4868,84
2019/1/28,9:00,1,4780,5359,89,9:00,4780,5359,89
2019/1/29,18:00,2,4597,5277,87,18:00,4597,5277,87
2019/1/30,9:00,3,4533,5681,79,9:00,4533,5681,79
2019/1/31,9:00,4,4838,5450,88,9:00,4838,5450,88
2019/2/1,18:00,5,4626,5378,86,18:00,4626,5378,86
2019/2/2,8:00,6,3951,4795,82,8:00,3951,4795,82
2019/2/3,18:00,0,3654,4365,83,18:00,3654,4365,83
2019/2/4,18:00,1,3920,4888,80,18:00,3920,4888,80
2019/2/5,18:00,2,4346,5128,84,18:00,4346,5128,84
2019/2/6,10:00,3,4557,5321,85,10:00,4557,5321,85
2019/2/7,9:00,4,4309,5268,81,9:00,4309,5268,81
2019/2/8,18:00,5,4520,5281,85,18:00,4520,5281,85
2019/2/9,10:00,6,4646,5368,86,10:00,4646,5368,86
2019/2/10,18:00,0,4127,5250,78,18:00,4127,5250,78
2019/2/11,18:00,1,4496,5404,83,18:00,4496,5404,83
2019/2/12,18:00,2,4520,5375,84,18:00,4520,5375,84
2019/2/13,9:00,3,4737,5390,87,9:00,4737,5390,87
2019/2/14,18:00,4,4663,5357,87,18:00,4663,5357,87
2019/2/15,9:00,5,4868,5517,88,9:00,4868,5517,88
2019/2/16,9:00,6,3956,5319,74,9:00,3956,5319,74
2019/2/17,19:00,0,3910,4677,83,19:00,3910,4677,83
2019/2/18,9:00,1,4111,5421,75,9:00,4111,5421,75
2019/2/19,9:00,2,4314,4996,86,9:00,4314,4996,86
2019/2/20,9:00,3,3760,4944,76,9:00,3760,4944,76
2019/2/21,18:00,4,3957,4633,85,18:00,3957,4633,85
2019/2/22,9:00,5,3913,4876,80,9:00,3913,4876,80
2019/2/23,18:00,6,3681,4515,81,18:00,3681,4515,81
2019/2/24,18:00,0,3513,4243,82,18:00,3513,4243,82
2019/2/25,9:00,1,3950,5085,77,9:00,3950,5085,77
2019/2/26,18:00,2,3936,4488,87,18:00,3936,4488,87
2019/2/27,9:00,3,4082,4986,81,9:00,4082,4986,81
2019/2/28,9:00,4,4339,4891,88,9:00,4339,4891,88
2019/3/1,9:00,5,4046,4625,87,9:00,4046,4625,87
2019/3/2,18:00,6,3508,4288,81,18:00,3508,4288,81
2019/3/3,18:00,0,3827,4469,85,18:00,3827,4469,85
2019/3/4,10:00,1,4303,4816,89,10:00,4303,4816,89
2019/3/5,18:00,2,3870,4455,86,18:00,3870,4455,86
2019/3/6,9:00,3,4001,4723,84,9:00,4001,4723,84
2019/3/7,18:00,4,4139,4595,90,18:00,4139,4595,90
2019/3/8,18:00,5,4037,4461,90,18:00,4037,4461,90
2019/3/9,18:00,6,3459,4087,84,18:00,3459,4087,84
2019/3/10,18:00,0,3311,4025,82,18:00,3311,4025,82
2019/3/11,9:00,1,3807,4564,83,9:00,3807,4564,83
2019/3/12,18:00,2,3591,4244,84,18:00,3591,4244,84
2019/3/13,18:00,3,3674,4255,86,18:00,3674,4255,86
2019/3/14,18:00,4,3891,4363,89,18:00,3891,4363,89
2019/3/15,18:00,5,3761,4207,89,18:00,3761,4207,89
2019/3/16,18:00,6,3558,3916,90,18:00,3558,3916,90
2019/3/17,19:00,0,3428,4063,84,19:00,3428,4063,84
2019/3/18,18:00,1,3800,4296,88,18:00,3800,4296,88
2019/3/19,18:00,2,3586,4081,87,18:00,3586,4081,87
2019/3/20,18:00,3,3406,4003,85,18:00,3406,4003,85
2019/3/21,18:00,4,3265,3889,83,18:00,3265,3889,83
2019/3/22,18:00,5,3376,3999,84,18:00,3376,3999,84
2019/3/23,18:00,6,3694,4049,91,18:00,3694,4049,91
2019/3/24,19:00,0,3414,4088,83,19:00,3414,4088,83
2019/3/25,18:00,1,3690,4205,87,18:00,3690,4205,87
2019/3/26,9:00,2,3772,4374,86,9:00,3772,4374,86
2019/3/27,18:00,3,3440,3994,86,18:00,3440,3994,86
2019/3/28,18:00,4,3568,4029,88,18:00,3568,4029,88
2019/3/29,10:00,5,3842,4427,86,10:00,3842,4427,86
2019/3/30,18:00,6,3520,3861,91,18:00,3520,3861,91
2019/3/31,19:00,0,3271,4098,79,19:00,3271,4098,79
2019/4/1,18:00,1,3831,4310,88,18:00,3831,4310,88
2019/4/2,18:00,2,3936,4328,90,18:00,3936,4328,90
2019/4/3,18:00,3,3865,4371,88,18:00,3865,4371,88
2019/4/4,18:00,4,3619,4109,88,18:00,3619,4109,88
2019/4/5,9:00,5,3414,4367,78,18:00,3381,3789,89
2019/4/6,18:00,6,3052,3619,84,19:00,3046,3597,84
2019/4/7,18:00,0,2995,3698,80,19:00,2985,3677,81
2019/4/8,18:00,1,3774,4051,93,18:00,3774,4051,93
2019/4/9,18:00,2,3619,4436,81,19:00,3606,4398,81
2019/4/10,18:00,3,4313,4521,95,18:00,4313,4521,95
2019/4/11,18:00,4,3813,4064,93,18:00,3813,4064,93
2019/4/12,10:00,5,3809,4627,82,18:00,3788,4233,89
2019/4/13,19:00,6,3237,3877,83,19:00,3237,3877,83
2019/4/14,19:00,0,3129,3785,82,18:00,3126,3747,83
2019/4/15,18:00,1,3353,4009,83,18:00,3353,4009,83
2019/4/16,18:00,2,3358,3972,84,18:00,3358,3972,84
2019/4/17,18:00,3,3393,3836,88,18:00,3393,3836,88
2019/4/18,18:00,4,3324,3895,85,18:00,3324,3895,85
2019/4/19,11:00,5,3365,4519,74,18:00,3314,3795,87
2019/4/20,19:00,6,3032,3555,85,19:00,3032,3555,85
2019/4/21,19:00,0,2940,3571,82,18:00,2935,3561,82
2019/4/22,14:00,1,3400,4263,79,18:00,3361,3897,86
2019/4/23,11:00,2,3342,4548,73,18:00,3333,3924,84
2019/4/24,18:00,3,3367,3952,85,18:00,3367,3952,85
2019/4/25,11:00,4,3437,4568,75,18:00,3397,3981,85
2019/4/26,10:00,5,3396,4004,84,18:00,3341,3700,90
2019/4/27,19:00,6,3182,3413,93,19:00,3182,3413,93
2019/4/28,19:00,0,2891,3326,86,19:00,2891,3326,86
2019/4/29,18:00,1,2887,3199,90,18:00,2887,3199,90
2019/4/30,18:00,2,2944,3395,86,18:00,2944,3395,86
2019/5/1,18:00,3,2835,3146,90,18:00,2835,3146,90
2019/5/2,19:00,4,2740,3195,85,19:00,2740,3195,85
2019/5/3,19:00,5,2684,3146,85,19:00,2684,3146,85
2019/5/4,19:00,6,2697,3211,83,19:00,2697,3211,83
2019/5/5,19:00,0,2746,3186,86,19:00,2746,3186,86
2019/5/6,19:00,1,2909,3361,86,19:00,2909,3361,86
2019/5/7,18:00,2,3216,3806,84,18:00,3216,3806,84
2019/5/8,11:00,3,3269,4576,71,19:00,3225,3756,85
2019/5/9,11:00,4,3332,4244,78,18:00,3265,3777,86
2019/5/10,14:00,5,3416,4502,75,18:00,3248,3843,84
2019/5/11,11:00,6,3053,4101,74,19:00,3027,3612,83
2019/5/12,19:00,0,2890,3474,83,19:00,2890,3474,83
2019/5/13,14:00,1,3354,4213,79,18:00,3302,3892,84
2019/5/14,10:00,2,3431,3932,87,10:00,3431,3932,87
2019/5/15,11:00,3,3399,4369,77,18:00,3274,3815,85
2019/5/16,11:00,4,3443,4460,77,18:00,3324,3876,85
2019/5/17,11:00,5,3498,4527,77,18:00,3274,3831,85
2019/5/18,11:00,6,3024,3981,75,19:00,3020,3551,85
2019/5/19,19:00,0,2973,3564,83,19:00,2973,3564,83
2019/5/20,11:00,1,3437,4132,83,18:00,3349,3793,88
2019/5/21,11:00,2,3606,3957,91,11:00,3606,3957,91
2019/5/22,13:00,3,3416,4461,76,18:00,3252,3878,83
2019/5/23,14:00,4,3489,4478,77,18:00,3336,3891,85
2019/5/24,14:00,5,3652,4469,81,17:00,3494,3982,87
2019/5/25,14:00,6,3240,4312,75,19:00,3186,3709,85
2019/5/26,19:00,0,3290,3891,84,19:00,3290,3891,84
2019/5/27,14:00,1,4229,4903,86,17:00,3955,4330,91
2019/5/28,11:00,2,3832,4597,83,16:00,3583,4165,86
2019/5/29,11:00,3,3622,4505,80,18:00,3368,3990,84
2019/5/30,14:00,4,3605,4684,76,19:00,3354,3947,84
2019/5/31,10:00,5,3550,4251,83,16:00,3452,3796,90
2019/6/1,11:00,6,3108,4384,70,19:00,3070,3635,84
2019/6/2,19:00,0,3003,3641,82,19:00,3003,3641,82
2019/6/3,14:00,1,3673,4717,77,18:00,3429,4013,85
2019/6/4,14:00,2,3778,4662,81,18:00,3515,4023,87
2019/6/5,14:00,3,3658,4504,81,19:00,3470,4007,86
2019/6/6,14:00,4,4136,4849,85,16:00,4080,4512,90
2019/6/7,11:00,5,3811,4176,91,11:00,3811,4176,91
2019/6/8,11:00,6,3137,3868,81,19:00,3094,3627,85
2019/6/9,19:00,0,2926,3692,79,19:00,2926,3692,79
2019/6/10,16:00,1,3456,3839,90,16:00,3456,3839,90
2019/6/11,14:00,2,3372,4282,78,18:00,3311,3826,86
2019/6/12,10:00,3,3390,4088,82,19:00,3263,3771,86
2019/6/13,14:00,4,3572,4564,78,19:00,3353,3891,86
2019/6/14,11:00,5,3677,4564,80,16:00,3449,3942,87
2019/6/15,11:00,6,3095,3643,84,13:00,3025,3458,87
2019/6/16,19:00,0,3087,3567,86,19:00,3087,3567,86
2019/6/17,14:00,1,3608,4748,75,18:00,3432,4047,84
2019/6/18,13:00,2,3799,4753,79,16:00,3664,4209,87
2019/6/19,15:00,3,3919,4609,85,18:00,3635,4080,89
2019/6/20,14:00,4,3953,4747,83,16:00,3901,4357,89
2019/6/21,14:00,5,4048,4580,88,16:00,3888,4266,91
2019/6/22,11:00,6,3307,4031,82,19:00,3175,3722,85
2019/6/23,19:00,0,3058,3895,78,19:00,3058,3895,78
2019/6/24,10:00,1,3505,4301,81,10:00,3505,4301,81
2019/6/25,14:00,2,3755,4806,78,18:00,3512,4174,84
2019/6/26,14:00,3,3965,4999,79,16:00,3892,4625,84
2019/6/27,11:00,4,4136,5091,81,16:00,3918,4569,85
2019/6/28,11:00,5,4186,4934,84,16:00,4168,4761,87
2019/6/29,11:00,6,3220,4182,76,18:00,3167,3995,79
2019/6/30,19:00,0,3236,4155,77,19:00,3236,4155,77
2019/7/1,11:00,1,3817,4833,78,16:00,3762,4510,83
2019/7/2,11:00,2,3982,4789,83,16:00,3897,4551,85
2019/7/3,11:00,3,4104,5030,81,16:00,3848,4447,86
2019/7/4,10:00,4,3940,4690,84,9:00,3911,4588,85
2019/7/5,11:00,5,3711,4516,82,14:00,3588,4180,85
2019/7/6,19:00,6,3133,3909,80,12:00,3086,3778,81
2019/7/7,19:00,0,3022,3746,80,19:00,3022,3746,80
2019/7/8,14:00,1,3496,4484,77,11:00,3459,4159,83
2019/7/9,10:00,2,3473,4294,80,9:00,3411,4169,81
2019/7/10,14:00,3,3536,4901,72,17:00,3403,4062,83
2019/7/11,11:00,4,3660,4408,83,9:00,3542,4145,85
2019/7/12,11:00,5,3664,4443,82,14:00,3587,4172,85
2019/7/13,11:00,6,3425,4482,76,10:00,3323,4035,82
2019/7/14,19:00,0,3073,3695,83,18:00,3065,3659,83
2019/7/15,11:00,1,3268,4248,76,18:00,3239,3921,82
2019/7/16,11:00,2,3720,4894,76,10:00,3694,4508,81
2019/7/17,14:00,3,4019,5220,76,16:00,3982,4822,82
2019/7/18,14:00,4,4206,5009,83,15:00,4152,4749,87
2019/7/19,14:00,5,4519,5136,87,16:00,4420,4779,92
2019/7/20,13:00,6,3870,4851,79,18:00,3626,4339,83
2019/7/21,18:00,0,3469,4326,80,18:00,3469,4326,80
2019/7/22,11:00,1,3955,4913,80,11:00,3955,4913,80
2019/7/23,15:00,2,4235,5042,83,16:00,4214,4851,86
2019/7/24,14:00,3,4525,5534,81,16:00,4457,5199,85
2019/7/25,14:00,4,4801,5768,83,16:00,4694,5361,87
2019/7/26,11:00,5,4817,5768,83,16:00,4628,5166,89
2019/7/27,11:00,6,4124,5285,78,17:00,3915,4647,84
2019/7/28,15:00,0,3992,4915,81,18:00,3929,4536,86
2019/7/29,13:00,1,5173,6000,86,16:00,4918,5407,90
2019/7/30,14:00,2,5251,5910,88,16:00,5134,5553,92
2019/7/31,13:00,3,5340,6098,87,16:00,5197,5549,93
2019/8/1,14:00,4,5478,5830,93,16:00,5354,5652,94
2019/8/2,14:00,5,5509,6087,90,16:00,5383,5752,93
2019/8/3,13:00,6,4724,5807,81,17:00,4427,5079,87
2019/8/4,16:00,0,4304,5324,80,18:00,4278,5087,84
2019/8/5,16:00,1,5328,5661,94,17:00,5163,5438,94
2019/8/6,14:00,2,5468,6047,90,16:00,5253,5705,92
2019/8/7,14:00,3,5543,6126,90,16:00,5236,5691,92
2019/8/8,13:00,4,5459,6192,88,16:00,5147,5704,90
2019/8/9,14:00,5,5375,6025,89,16:00,5162,5669,91
2019/8/10,13:00,6,4590,5457,84,17:00,4283,4853,88
2019/8/11,15:00,0,4006,5218,76,18:00,3991,4793,83
2019/8/12,18:00,1,4034,5115,78,19:00,4019,5076,79
2019/8/13,13:00,2,4241,5364,79,18:00,4123,4746,86
2019/8/14,11:00,3,4085,5130,79,18:00,3977,4660,85
2019/8/15,10:00,4,4109,5177,79,18:00,3986,4614,86
2019/8/16,16:00,5,4091,4995,81,18:00,4042,4888,82
2019/8/17,14:00,6,4446,5494,80,18:00,4257,4924,86
2019/8/18,13:00,0,4276,5475,78,18:00,4151,4890,84
2019/8/19,14:00,1,4814,5622,85,16:00,4759,5500,86
2019/8/20,14:00,2,4738,5553,85,14:00,4738,5553,85
2019/8/21,14:00,3,4713,5799,81,16:00,4544,5549,81
2019/8/22,16:00,4,4438,5298,83,16:00,4438,5298,83
2019/8/23,13:00,5,4375,5269,83,16:00,4267,5034,84
2019/8/24,15:00,6,3952,5120,77,18:00,3796,4588,82
2019/8/25,18:00,0,3666,4443,82,18:00,3666,4443,82
2019/8/26,13:00,1,4251,5482,77,18:00,3971,4761,83
2019/8/27,13:00,2,4350,5444,79,16:00,4213,5032,83
2019/8/28,10:00,3,4268,4808,88,9:00,4132,4642,89
2019/8/29,13:00,4,4869,5629,86,16:00,4768,5292,90
2019/8/30,10:00,5,4230,5142,82,9:00,4193,5086,82
2019/8/31,14:00,6,3995,4956,80,18:00,3846,4387,87
2019/9/1,18:00,0,3815,4419,86,18:00,3815,4419,86
2019/9/2,13:00,1,4830,5647,85,16:00,4701,5171,90
2019/9/3,11:00,2,4359,5113,85,16:00,4304,4890,88
2019/9/4,11:00,3,3973,4892,81,16:00,3936,4660,84
2019/9/5,14:00,4,4258,5046,84,17:00,4153,4671,88
2019/9/6,14:00,5,4916,5660,86,16:00,4845,5228,92
2019/9/7,13:00,6,4397,5264,83,18:00,4197,4574,91
2019/9/8,18:00,0,4209,4739,88,18:00,4209,4739,88
2019/9/9,14:00,1,5149,5592,92,16:00,4963,5261,94
2019/9/10,13:00,2,5390,5876,91,16:00,5204,5469,95
2019/9/11,14:00,3,5158,5528,93,15:00,5023,5338,94
2019/9/12,11:00,4,4351,5821,74,16:00,4045,5086,79
2019/9/13,11:00,5,3765,4644,81,17:00,3582,4391,81
2019/9/14,18:00,6,3295,4133,79,18:00,3295,4133,79
2019/9/15,18:00,0,3492,4261,81,18:00,3492,4261,81
2019/9/16,18:00,1,3629,4510,80,18:00,3629,4510,80
2019/9/17,13:00,2,4456,5579,79,16:00,4261,4886,87
2019/9/18,10:00,3,3891,4843,80,16:00,3688,4335,85
2019/9/19,14:00,4,3788,4966,76,17:00,3689,4417,83
2019/9/20,14:00,5,3775,4841,77,17:00,3662,4292,85
2019/9/21,11:00,6,3194,4303,74,18:00,3179,3886,81
2019/9/22,18:00,0,3173,3939,80,18:00,3173,3939,80
2019/9/23,14:00,1,3851,4732,81,18:00,3835,4327,88
2019/9/24,13:00,2,4244,5043,84,16:00,4033,4733,85
2019/9/25,14:00,3,4054,5030,80,17:00,3858,4463,86
2019/9/26,14:00,4,3897,5043,77,17:00,3751,4446,84
2019/9/27,13:00,5,3987,4945,80,17:00,3769,4319,87
2019/9/28,11:00,6,3472,4392,79,18:00,3374,4005,84
